source_script,seed,status,result_file,Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Best_Val_AUROC,Best_Epoch,Val_AUROC,Val_AUPRC
train_timeaware_clinical_longformer_365d,43,SUCCESS,multiseed_runs/train_timeaware_clinical_longformer_365d/seed_43/timeaware_clinical_longformer_365d_results.csv,Time-Aware Clinical Longformer Diagnosis-Text 365d,1337,0.7255432644647606,0.2090066900424372,0.7464472700074795,0.160919540229885,0.5436893203883495,0.7633711507293355,0.2483370288248337,0.0930570785954948,0.1799999999999999,0.744360191812534,5.0,,
train_timeaware_clinical_longformer_365d,44,SUCCESS,multiseed_runs/train_timeaware_clinical_longformer_365d/seed_44/timeaware_clinical_longformer_365d_results.csv,Time-Aware Clinical Longformer Diagnosis-Text 365d,1337,0.7268571698321034,0.1919348825861438,0.8601346297681376,0.2083333333333333,0.2912621359223301,0.9076175040518638,0.242914979757085,0.2039377776618913,0.7449999999999997,0.7447460216222176,2.0,,
train_timeaware_clinical_longformer_365d,45,SUCCESS,multiseed_runs/train_timeaware_clinical_longformer_365d/seed_45/timeaware_clinical_longformer_365d_results.csv,Time-Aware Clinical Longformer Diagnosis-Text 365d,1337,0.7430803606552218,0.229738368953923,0.7920718025430067,0.1863799283154122,0.5048543689320388,0.8160453808752026,0.2722513089005235,0.1297416791333639,0.4049999999999998,0.7740769612359153,3.0,,
train_timeaware_clinical_longformer_365d,46,SUCCESS,multiseed_runs/train_timeaware_clinical_longformer_365d/seed_46/timeaware_clinical_longformer_365d_results.csv,Time-Aware Clinical Longformer Diagnosis-Text 365d,1337,0.7259602523957137,0.2130489191585852,0.8444278234854151,0.2131147540983606,0.3786407766990291,0.8833063209076175,0.2727272727272727,0.1086620930204659,0.4599999999999998,0.7482342380648667,1.0,,
train_timeaware_clinicalbert_365d,43,SUCCESS,multiseed_runs/train_timeaware_clinicalbert_365d/seed_43/timeaware_clinicalbert_diagtext_365d_results.csv,Time-Aware ClinicalBERT Diagnosis-Text 365d,1337,0.7612862110745701,0.2380728107689768,0.8616305160807779,0.2559523809523809,0.4174757281553398,0.8987034035656402,0.3173431734317343,0.0925098218660114,0.2999999999999999,0.7550295671619461,3.0,,
train_timeaware_clinicalbert_365d,44,SUCCESS,multiseed_runs/train_timeaware_clinicalbert_365d/seed_44/timeaware_clinicalbert_diagtext_365d_results.csv,Time-Aware ClinicalBERT Diagnosis-Text 365d,1337,0.7312788154395682,0.2083777680462437,0.8668661181750187,0.2093023255813953,0.2621359223300971,0.9173419773095624,0.2327586206896551,0.2110778733442563,0.6449999999999998,0.754281529775825,2.0,,
train_timeaware_clinicalbert_365d,45,SUCCESS,multiseed_runs/train_timeaware_clinicalbert_365d/seed_45/timeaware_clinicalbert_diagtext_365d_results.csv,Time-Aware ClinicalBERT Diagnosis-Text 365d,1337,0.7478796557095876,0.252956208870404,0.8384442782348541,0.2041884816753926,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.1588665868507612,0.6999999999999997,0.7744549169678502,2.0,,
train_timeaware_clinicalbert_365d,46,SUCCESS,multiseed_runs/train_timeaware_clinicalbert_365d/seed_46/timeaware_clinicalbert_diagtext_365d_results.csv,Time-Aware ClinicalBERT Diagnosis-Text 365d,1337,0.7230334691822317,0.2065846191329286,0.7898279730740464,0.1821428571428571,0.4951456310679611,0.8144246353322528,0.2663185378590078,0.1523491692362234,0.3849999999999998,0.7589114874920274,1.0,,
train_timeaware_fttransformer_365d,43,SUCCESS,multiseed_runs/train_timeaware_fttransformer_365d/seed_43/timeaware_fttransformer_365d_results.csv,Time-Aware FT-Transformer 365d,1337,0.6828964139037939,0.176372854607624,0.7898279730740464,0.1775362318840579,0.4757281553398058,0.8160453808752026,0.258575197889182,0.2172908797363593,0.4599999999999998,0.6639619209600076,2.0,,
train_timeaware_fttransformer_365d,44,SUCCESS,multiseed_runs/train_timeaware_fttransformer_365d/seed_44/timeaware_fttransformer_365d_results.csv,Time-Aware FT-Transformer 365d,1337,0.676543248729367,0.1766418812027781,0.8930441286462228,0.25,0.1941747572815534,0.9513776337115072,0.2185792349726776,0.2079269936085201,0.4499999999999998,0.6679619524563185,2.0,,
train_timeaware_fttransformer_365d,45,SUCCESS,multiseed_runs/train_timeaware_fttransformer_365d/seed_45/timeaware_fttransformer_365d_results.csv,Time-Aware FT-Transformer 365d,1337,0.6767832134820853,0.1675486577647796,0.605833956619297,0.1267605633802817,0.6990291262135923,0.5980551053484603,0.2146050670640834,0.2063360591944137,0.4449999999999998,0.6690407011078827,1.0,,
